Enter the Fibonacci number to calculate.
The number must be an integer between 2 and 46. (Enter 1 to quit): 
           Fibonacci        Fibonacci
 N           number          quotient
-------------------------------------
 0             0                  N/A
 1             1                  N/A
 2             1   1.0000000000000000
 3             2   2.0000000000000000
 4             3   1.5000000000000000
 5             5   1.6666666666666667
 6             8   1.6000000000000001
 7            13   1.6250000000000000
 8            21   1.6153846153846154
 9            34   1.6190476190476191
10            55   1.6176470588235294
11            89   1.6181818181818182
12           144   1.6179775280898876
13           233   1.6180555555555556
14           377   1.6180257510729614
15           610   1.6180371352785146
16           987   1.6180327868852460
17          1597   1.6180344478216819
18          2584   1.6180338134001253
19          4181   1.6180340557275541
20          6765   1.6180339631667064
21         10946   1.6180339985218033
22         17711   1.6180339850173580
23         28657   1.6180339901755971
24         46368   1.6180339882053250
25         75025   1.6180339889579021
26        121393   1.6180339886704431
27        196418   1.6180339887802426
28        317811   1.6180339887383031
29        514229   1.6180339887543225
30        832040   1.6180339887482036
31       1346269   1.6180339887505408
32       2178309   1.6180339887496482
33       3524578   1.6180339887499890
34       5702887   1.6180339887498589
35       9227465   1.6180339887499087
36      14930352   1.6180339887498896
37      24157817   1.6180339887498969
38      39088169   1.6180339887498940
39      63245986   1.6180339887498951
40     102334155   1.6180339887498947
41     165580141   1.6180339887498949
42     267914296   1.6180339887498949
43     433494437   1.6180339887498949
44     701408733   1.6180339887498949
45    1134903170   1.6180339887498949
46    1836311903   1.6180339887498949
