Time (s),Collision Location (cm),,Velocity of Car A (cm/s),Velocity of Car B (cm/s)
1.13,38.5,,54.8672566371682,19.9115044247788,,Height from floor to bottom of track (cm),5.1
1.18,34,,56.3559322033898,15.2542372881356,,Travel length of both carts (cm),84
1.17,31,,59.4017094017094,12.8205128205128,,Derive Angle (degrees),3.48
1.11,33.5,,60.3603603603604,15.7657657657658
1.09,37,,58.256880733945,19.2660550458716,,Starting position of Car A (cm),100.5
1.14,37.5,,55.2631578947368,18.859649122807,,Starting position of Car B (cm),16
1.13,34,,58.8495575221239,15.929203539823
1.02,36,,63.2352941176471,19.6078431372549
1.12,36.5,,57.1428571428571,18.3035714285714
1.03,37.5,,61.1650485436893,20.873786407767
1,35,,65.5,19
1,34,,66.5,18
1.16,36,,55.6034482758621,17.2413793103448,,Equipment,Mass (g)
1.05,36.5,,60.952380952381,19.5238095238095,,Pasco ME9430 Dynamics Cart,500
0.99,35.5,,65.6565656565657,19.6969696969697,,Pasco ME9454 Collision Cart,500
1.13,33,,59.7345132743363,15.0442477876106
1.1,34.5,,60,16.8181818181818
1.12,34,,59.375,16.0714285714286
1.05,37,,60.4761904761905,20
1.01,34.5,,65.3465346534653,18.3168316831683

,,,Standard Deviation,Standard Deviation
,,,3.55475253929779,2.1104438088033

,,,60.2021343923214,17.8152488686401
